Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Role_Tenure_Ratio,ManagerTenureRatio,Promotion_Tenure_Ratio,Log_TotalWorkingYears,Log_YearsAtCompany,Log_YearsSinceLastPromotion,Log_MonthlyIncome,Attrition
29,Travel_Rarely,592,R&D,7,Bachelors,Life Sciences,1,Very High,Male,59,High,Entry Level,Laboratory Technician,Low,Single,2062,19384,3,No,14,Good,Medium,80,0,11,2,Good,3,0.5,0.5,0.25,2.4849066497880004,1.3862943611198906,0.6931471805599453,7.631916513071252,No
36,Travel_Rarely,884,Sales,1,Masters,Life Sciences,1,Medium,Female,73,High,Junior Level,Sales Executive,High,Single,6815,21447,6,No,13,Good,Low,80,0,15,5,Good,1,0.0,0.0,0.0,2.772588722239781,0.6931471805599453,0.0,8.827028068509152,No
34,Travel_Rarely,1326,Sales,3,Bachelors,Other,1,Very High,Male,81,Low,Junior Level,Sales Executive,Low,Single,4759,15891,3,No,18,Good,Very High,80,0,15,2,Good,13,0.643,0.857,0.214,2.772588722239781,2.639057329615259,1.3862943611198906,8.468002947225466,No
27,Travel_Rarely,954,Sales,9,Bachelors,Marketing,1,Very High,Male,44,High,Junior Level,Sales Executive,Very High,Single,4105,5099,1,No,14,Good,Low,80,0,7,5,Good,7,0.875,0.875,0.0,2.0794415416798357,2.0794415416798357,0.0,8.32020459757888,No
32,Travel_Rarely,929,Sales,10,Bachelors,Marketing,1,Very High,Male,55,High,Junior Level,Sales Executive,Very High,Single,5396,21703,1,No,12,Good,Very High,80,0,10,2,Average,10,0.636,0.727,0.0,2.3978952727983707,2.3978952727983707,0.0,8.593598522618644,No
50,Travel_Frequently,1234,R&D,20,PhD,Medical,1,Medium,Male,41,High,Senior Level,Healthcare Representative,High,Married,11245,20689,2,Yes,15,Good,High,80,1,32,3,Good,30,0.258,0.419,0.387,3.4965075614664802,3.4339872044851463,2.5649493574615367,9.327767788852148,No
30,Travel_Rarely,852,Sales,10,Bachelors,Marketing,1,High,Male,72,Medium,Junior Level,Sales Executive,High,Married,6578,2706,1,No,18,Good,Low,80,1,10,3,Good,10,0.273,0.364,0.091,2.3978952727983707,2.3978952727983707,0.6931471805599453,8.791638037085997,No
21,Travel_Rarely,156,Sales,12,Bachelors,Life Sciences,1,High,Female,90,Very High,Entry Level,Sales Representative,Medium,Single,2716,25422,1,No,15,Good,Very High,80,0,1,0,Good,1,0.0,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,7.907283609426348,Yes
26,Travel_Rarely,1443,Sales,23,Bachelors,Marketing,1,High,Female,47,Medium,Junior Level,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Good,High,80,1,5,2,Average,2,0.667,0.0,0.0,1.791759469228055,1.0986122886681096,0.0,8.332789468417959,No
27,Travel_Rarely,269,R&D,5,Below School,Technical Degree,1,High,Male,42,Medium,Mid Level,Research Director,Very High,Divorced,12808,8842,1,Yes,16,Good,Medium,80,1,9,3,Good,9,0.8,0.8,0.0,2.302585092994046,2.302585092994046,0.0,9.457903327831136,No
43,Travel_Frequently,775,Sales,15,Bachelors,Life Sciences,1,Very High,Male,47,Medium,Junior Level,Sales Executive,Very High,Married,6804,23683,3,No,18,Good,High,80,1,7,5,Good,2,0.667,0.667,0.667,2.0794415416798357,1.0986122886681096,1.0986122886681096,8.825412915085566,No
31,Travel_Rarely,192,R&D,2,Masters,Life Sciences,1,High,Male,32,High,Entry Level,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,Good,Medium,80,1,3,2,Poor,2,0.667,0.667,0.667,1.3862943611198906,1.0986122886681096,1.0986122886681096,7.899524472032198,No
35,Travel_Rarely,1402,Sales,28,Masters,Life Sciences,1,Medium,Female,98,Medium,Entry Level,Sales Representative,High,Married,2430,26204,0,No,23,Excellent,Low,80,2,6,5,Good,5,0.5,0.333,0.667,1.9459101490553132,1.791759469228055,1.6094379124341003,7.796057974316123,No
22,Travel_Rarely,534,R&D,15,Bachelors,Medical,1,Medium,Female,59,High,Entry Level,Laboratory Technician,Very High,Single,2871,23785,1,No,15,Good,High,80,0,1,5,Good,0,0.0,0.0,0.0,0.6931471805599453,0.0,0.0,7.962763930168115,No
44,Travel_Rarely,921,R&D,2,Bachelors,Life Sciences,1,High,Female,96,Very High,Mid Level,Healthcare Representative,Very High,Married,7879,14810,1,Yes,19,Good,Medium,80,1,9,2,Good,8,0.778,0.778,0.667,2.302585092994046,2.1972245773362196,1.9459101490553132,8.972083182851925,No
37,Travel_Rarely,807,HR,6,Masters,Human Resources,1,High,Male,63,High,Entry Level,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Excellent,Very High,80,0,7,3,Good,3,0.5,0.5,0.0,2.0794415416798357,1.3862943611198906,0.0,7.637234388789473,Yes
42,Travel_Frequently,1368,R&D,28,Masters,Technical Degree,1,Very High,Female,88,Medium,Junior Level,Healthcare Representative,Very High,Married,4523,4386,0,No,11,Good,Very High,80,3,7,4,Excellent,6,0.714,0.571,0.0,2.0794415416798357,1.9459101490553132,0.0,8.41715183723601,No
42,Travel_Rarely,1265,R&D,3,Bachelors,Life Sciences,1,High,Female,95,Very High,Junior Level,Laboratory Technician,Very High,Married,5231,23726,2,Yes,13,Good,Medium,80,1,17,1,Average,5,0.5,0.5,0.167,2.8903717578961645,1.791759469228055,0.6931471805599453,8.562548893137034,No
31,Travel_Rarely,1463,R&D,23,Bachelors,Medical,1,Medium,Male,64,Medium,Junior Level,Healthcare Representative,Very High,Married,5582,14408,0,No,21,Excellent,Medium,80,1,10,2,Good,9,0.0,0.8,0.7,2.3978952727983707,2.302585092994046,2.0794415416798357,8.62748154531036,No
36,Travel_Rarely,917,R&D,6,Masters,Life Sciences,1,High,Male,60,Low,Entry Level,Laboratory Technician,High,Divorced,2741,6865,1,No,14,Good,High,80,1,7,4,Good,7,0.875,0.875,0.125,2.0794415416798357,2.0794415416798357,0.6931471805599453,7.91644286012226,No
18,Travel_Rarely,230,R&D,3,Bachelors,Life Sciences,1,High,Male,54,High,Entry Level,Laboratory Technician,High,Single,1420,25233,1,No,13,Good,High,80,0,0,2,Good,0,0.0,0.0,0.0,0.0,0.0,0.0,7.259116128097101,Yes
47,Travel_Frequently,217,Sales,3,Bachelors,Medical,1,Very High,Female,49,High,Senior Level,Sales Executive,High,Divorced,13770,10225,9,Yes,12,Good,Very High,80,2,28,2,Average,22,0.087,0.565,0.478,3.367295829986474,3.1354942159291497,2.4849066497880004,9.530320210727126,No
34,Travel_Rarely,1320,R&D,20,Bachelors,Technical Degree,1,High,Female,89,Very High,Entry Level,Research Scientist,High,Married,2585,21643,0,No,17,Good,Very High,80,0,2,5,Average,1,0.0,0.0,0.0,1.0986122886681096,0.6931471805599453,0.0,7.857867559331803,No
58,Travel_Rarely,1272,R&D,5,Bachelors,Technical Degree,1,High,Female,37,Medium,Mid Level,Healthcare Representative,Medium,Divorced,10552,9255,2,Yes,13,Good,Very High,80,1,24,3,Good,6,0.0,0.571,0.0,3.2188758248682006,1.9459101490553132,0.0,9.26416545867109,No
36,Travel_Rarely,329,R&D,2,Bachelors,Life Sciences,1,Very High,Female,96,High,Entry Level,Research Scientist,High,Married,2543,11868,4,No,13,Good,Medium,80,1,6,3,Good,2,0.667,0.667,0.667,1.9459101490553132,1.0986122886681096,1.0986122886681096,7.841492924460013,No
44,Travel_Frequently,920,R&D,24,Bachelors,Life Sciences,1,Very High,Male,43,High,Entry Level,Laboratory Technician,High,Divorced,3161,19920,3,Yes,22,Excellent,Very High,80,1,19,0,Poor,1,0.0,0.0,0.0,2.995732273553991,0.6931471805599453,0.0,8.058960017769417,Yes
40,Travel_Frequently,692,R&D,11,Bachelors,Technical Degree,1,Very High,Female,73,High,Junior Level,Laboratory Technician,High,Married,6323,26849,1,No,11,Good,Low,80,1,10,2,Excellent,10,0.818,0.364,0.818,2.3978952727983707,2.3978952727983707,2.302585092994046,8.752107198329362,No
54,Travel_Rarely,155,R&D,9,School,Life Sciences,1,Low,Female,67,High,Junior Level,Research Scientist,High,Married,2897,22474,3,No,11,Good,High,80,2,9,6,Average,4,0.6,0.6,0.4,2.302585092994046,1.6094379124341003,1.0986122886681096,7.971776122880628,No
58,Travel_Rarely,147,R&D,23,Masters,Medical,1,Very High,Female,94,High,Mid Level,Healthcare Representative,Very High,Married,10312,3465,1,No,12,Good,Very High,80,1,40,3,Average,40,0.244,0.146,0.366,3.713572066704308,3.713572066704308,2.772588722239781,9.24116051431607,Yes
23,Travel_Rarely,427,Sales,7,Bachelors,Life Sciences,1,High,Male,99,High,Entry Level,Sales Representative,Very High,Divorced,2275,25103,1,Yes,21,Excellent,Medium,80,1,3,2,Good,3,0.5,0.5,0.0,1.3862943611198906,1.3862943611198906,0.0,7.730174795246222,Yes
31,Travel_Frequently,444,Sales,5,Bachelors,Marketing,1,Very High,Female,84,High,Entry Level,Sales Representative,Medium,Divorced,2789,3909,1,No,11,Good,High,80,1,2,5,Average,2,0.667,0.667,0.667,1.0986122886681096,1.0986122886681096,1.0986122886681096,7.933796874815411,No
